Nation Name,GDP per capita,IQ average,Gini Coefficient,Life expectancy,HDI,Unemployment rate,Public debt to GDP ratio,CPI,Rule of Law Index,Democracy Index,Dummy
Afghanistan,0.02590673575,0.4974093264,0.3264248705,0.170984456,0.103626943,0.225388601,0.9740932642,0.03626943005,0.04922279793,0.00518134715,0.00518134715
Albania,0.518134715,0.4715025907,0.8445595855,0.7823834197,0.6580310881,0.2176165803,0.2849740933,0.3704663212,0.3886010363,0.5751295337,0.5751295337
Algeria,0.3523316062,0.3005181347,0.9015544041,0.6321243523,0.5751295337,0.1476683938,0.4559585492,0.3134715026,0.4300518135,0.3005181347,0.3005181347
Andorra,0.8808290155,0.8212435233,0.9170984456,0.9792746114,0.8341968912,0.7823834197,0.7461139896,0.9378238342,0.9196891192,0.8005181347,0.8005181347
Angola,0.2176165803,0.2901554404,0.0725388601,0.1398963731,0.2279792746,0.4455958549,0.1139896373,0.2331606218,0.2461139896,0.3160621762,0.3160621762
Antigua and Barbuda,0.7409326425,0.2305699482,0.1243523316,0.6943005181,0.6321243523,0.3549222798,0.1606217617,0.7150259067,0.7279792746,0.7435233161,0.7435233161
Argentina,0.6373056995,0.621761658,0.292746114,0.6787564767,0.7875647668,0.4274611399,0.2331606218,0.5259067358,0.5829015544,0.6839378238,0.6839378238
Armenia,0.4559585492,0.6839378238,0.8860103627,0.5958549223,0.6269430052,0.0932642487,0.4300518135,0.6373056995,0.9196891192,0.4507772021,0.4507772021
Australia,0.9533678756,0.9274611399,0.6424870466,0.9663212435,0.9844559585,0.8056994819,0.6528497409,0.8937823834,0.9196891192,0.9378238342,0.9378238342
Austria,0.9274611399,0.8911917098,0.8186528497,0.8601036269,0.8989637306,0.6787564767,0.2227979275,0.914507772,0.6528497409,0.9067357513,0.9067357513
Azerbaijan,0.4715025907,0.5958549223,0.4663212435,0.5310880829,0.5544041451,0.5233160622,0.932642487,0.2616580311,0.1476683938,0.1761658031,0.1761658031
Bahamas,0.8341968912,0.6321243523,0.0310880829,0.5440414508,0.7590673575,0.2487046632,0.1191709845,0.5932642487,0.6528497409,0.8316062176,0.8316062176
Bahrain,0.792746114,0.5233160622,0.2227979275,0.8186528497,0.8419689119,0.7435233161,0.05699481865,0.5259067358,0.5829015544,0.1398963731,0.1398963731
Bangladesh,0.2694300518,0.2694300518,0.7590673575,0.5544041451,0.3704663212,0.7279792746,0.792746114,0.1606217617,0.1476683938,0.5129533679,0.5129533679
Barbados,0.7305699482,0.7668393782,0.1398963731,0.621761658,0.7046632124,0.2435233161,0.0621761658,0.8419689119,0.7875647668,0.8419689119,0.8419689119
Belarus,0.5025906736,0.9792746114,0.9792746114,0.5310880829,0.7124352332,0.7279792746,0.8031088083,0.5,0.3031088083,0.0829015544,0.0829015544
Belgium,0.9015544041,0.8756476684,0.9455958549,0.8704663212,0.9404145078,0.5569948187,0.103626943,0.878238342,0.8886010363,0.8082901554,0.8082901554
Belize,0.4870466321,0.09585492228,0.05440414508,0.5,0.1243523316,0.2720207254,0.1243523316,0.6243523316,0.4300518135,0.6088082902,0.6088082902
Benin,0.1606217617,0.2176165803,0.4844559585,0.0518134715,0.3834196891,0.9222797927,0.585492228,0.5259067358,0.3886010363,0.3367875648,0.3367875648
Bhutan,0.2953367876,0.6683937824,0.8808290155,0.4766839378,0.4378238342,0.8341968912,0.07772020725,0.8601036269,0.8341968912,0.4404145078,0.4404145078
Plurinational State of Bolivia,0.3056994819,0.3264248705,0.3341968912,0.2849740933,0.6528497409,0.5077720207,0.4093264249,0.2331606218,0.1295336788,0.4274611399,0.4274611399
